iteration,isolation,commit_hint_first,thread_a_committed,thread_b_committed,thread_a_error,thread_b_error,invariant_ok,invariant_detail
18,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=89f9563f-0602-4aea-a653-44708924a84e, reason=kind_outranked -- payload={""value"": ""INFERRED_iter18"", ""writer"": ""kndb_native"", ""fact_id"": ""654620f6-b024-40ce-91e2-7866d353fbb2"", ""provsql"": ""c93df0a9-c228-4ac2-85bb-26a0d8b276a6"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.293984-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000018, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
19,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000019 attribute='s2_slot' is INFERRED, expected MEASURED"
20,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
21,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=03957d85-a48f-4f43-926b-cd7c5b666da4, reason=kind_outranked -- payload={""value"": ""INFERRED_iter21"", ""writer"": ""kndb_native"", ""fact_id"": ""defaf128-87e4-4b55-a4ef-a66f912ae3fc"", ""provsql"": ""46fc3c23-97ee-4aca-a30d-caf20a77460b"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.318183-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000021, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
22,SERIALIZABLE,A,1,1,,,1,
23,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000023 attribute='s2_slot' is INFERRED, expected MEASURED"
24,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=27ff72bc-62c8-42e2-9a1f-4dd272e31bc4, reason=kind_outranked -- payload={""value"": ""INFERRED_iter24"", ""writer"": ""kndb_native"", ""fact_id"": ""dedb28a2-68f8-4eab-8f04-1334b4d6f440"", ""provsql"": ""5e64b489-12d1-4795-95ec-57331b33b12f"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.342996-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000024, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
25,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000025 attribute='s2_slot' is INFERRED, expected MEASURED"
26,SERIALIZABLE,A,1,1,,,1,
27,SERIALIZABLE,A,1,1,,,1,
28,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=ce9f159a-f80e-493c-bd14-e247bfdeb5a0, reason=kind_outranked -- payload={""value"": ""INFERRED_iter28"", ""writer"": ""kndb_native"", ""fact_id"": ""4f546b3a-862b-415b-b70b-7cddbb0398df"", ""provsql"": ""002b1b34-d05a-47e8-bf70-e8b03ac4e1b1"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.375944-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000028, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
29,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=30639c45-30bb-4636-a896-0bd23443ae67, reason=kind_outranked -- payload={""value"": ""INFERRED_iter29"", ""writer"": ""kndb_native"", ""fact_id"": ""3851fcea-8ec5-45ca-a1ff-663566a0136c"", ""provsql"": ""e0e81453-0881-4fa8-bf09-39f22c2d19c9"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.383881-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000029, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
30,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=e7130178-5e58-4521-b36a-0d43f80a75ae, reason=kind_outranked -- payload={""value"": ""INFERRED_iter30"", ""writer"": ""kndb_native"", ""fact_id"": ""48196740-d43d-4848-bfde-609c10fde7e0"", ""provsql"": ""1b105d54-e6d7-4191-bd06-6e3120da8861"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.392565-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000030, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
31,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=ee11cbb5-d14b-438a-a415-dc9c1cad74bb, reason=kind_outranked -- payload={""value"": ""INFERRED_iter31"", ""writer"": ""kndb_native"", ""fact_id"": ""ada7ce44-5d4f-4d12-a390-535cd41e1f94"", ""provsql"": ""a243824e-74e2-4e39-ac76-cdb0f55378a7"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.400348-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000031, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
32,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
33,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
34,SERIALIZABLE,A,1,1,,,1,
35,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=e3ec6689-c30f-4e42-b705-54a416134b57, reason=kind_outranked -- payload={""value"": ""INFERRED_iter35"", ""writer"": ""kndb_native"", ""fact_id"": ""9fb727a6-5c39-4968-b831-97982644f5d7"", ""provsql"": ""bb0467ea-b2be-4d01-abfe-be642ed18343"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.435258-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000035, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
36,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=f4645b02-f024-43ac-9fc9-dbac9a5312f0, reason=kind_outranked -- payload={""value"": ""INFERRED_iter36"", ""writer"": ""kndb_native"", ""fact_id"": ""627b23c8-534a-4de6-814b-b0c18f3c4968"", ""provsql"": ""30ecdd41-53ed-4b5b-9ab5-6f2c7e290f22"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.442997-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000036, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
37,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
38,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=20f9d6c3-b628-4317-8824-2723b00f2f27, reason=kind_outranked -- payload={""value"": ""INFERRED_iter38"", ""writer"": ""kndb_native"", ""fact_id"": ""5d5372f9-45a1-496f-9239-f4e7360d5fbb"", ""provsql"": ""455326bd-e169-40b4-b34b-c0b82ad1b915"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.458334-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000038, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
39,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
40,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=7630fa7b-aa4c-4dd0-a3cc-16dadae324f4, reason=kind_outranked -- payload={""value"": ""INFERRED_iter40"", ""writer"": ""kndb_native"", ""fact_id"": ""ffa878bd-2ed2-44a6-b6a5-2869c0732184"", ""provsql"": ""acbeee17-4b9d-43b3-9dd9-e85fdd94c260"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.474321-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000040, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
41,SERIALIZABLE,A,1,1,,,1,
42,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000042 attribute='s2_slot' is INFERRED, expected MEASURED"
43,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000043 attribute='s2_slot' is INFERRED, expected MEASURED"
44,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000044 attribute='s2_slot' is INFERRED, expected MEASURED"
45,SERIALIZABLE,A,1,1,,,1,
46,SERIALIZABLE,A,1,1,,,1,
47,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000047 attribute='s2_slot' is INFERRED, expected MEASURED"
48,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
49,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000049 attribute='s2_slot' is INFERRED, expected MEASURED"
50,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000050 attribute='s2_slot' is INFERRED, expected MEASURED"
51,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000051 attribute='s2_slot' is INFERRED, expected MEASURED"
52,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000052 attribute='s2_slot' is INFERRED, expected MEASURED"
53,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
54,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=eb3e594d-4cde-4297-9509-09413f6a6a2a, reason=kind_outranked -- payload={""value"": ""INFERRED_iter54"", ""writer"": ""kndb_native"", ""fact_id"": ""54b3261f-bd57-4ac0-aa79-3d4dccaa1a0a"", ""provsql"": ""550b1afa-1ea1-4e32-b757-41bb7c22798b"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.588717-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000054, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
55,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
56,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000056 attribute='s2_slot' is INFERRED, expected MEASURED"
57,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=7f275bab-cb70-4843-b5cc-d3d2e662bb49, reason=kind_outranked -- payload={""value"": ""INFERRED_iter57"", ""writer"": ""kndb_native"", ""fact_id"": ""8a7ca3ac-01c7-41df-ba26-5bffa520c93a"", ""provsql"": ""39c6038a-6a63-49f3-ab92-6ecf681bbb2d"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.61312-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000057, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
58,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000058 attribute='s2_slot' is INFERRED, expected MEASURED"
59,SERIALIZABLE,A,1,1,,,1,
60,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=188e7cbf-dcf9-4391-989e-cf8a01489b85, reason=kind_outranked -- payload={""value"": ""INFERRED_iter60"", ""writer"": ""kndb_native"", ""fact_id"": ""1ef7a638-70c4-4540-8b28-7f7245f02abd"", ""provsql"": ""c16e0829-4cbc-4e2c-8160-d71809dfdda2"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.637615-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000060, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
61,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
62,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
63,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=f3c00b26-d5bd-4230-90ba-c1574c42cb22, reason=kind_outranked -- payload={""value"": ""INFERRED_iter63"", ""writer"": ""kndb_native"", ""fact_id"": ""787e45bb-d3cb-4877-8ec0-0f475c202edc"", ""provsql"": ""3d953617-efc8-4e35-a580-af8d42900a21"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.660817-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000063, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
64,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=baff68ec-0537-4cab-8aae-a9cd4fd25d38, reason=kind_outranked -- payload={""value"": ""INFERRED_iter64"", ""writer"": ""kndb_native"", ""fact_id"": ""5ee9c399-f7ae-4ca9-889d-0fa1b6a89225"", ""provsql"": ""7050fc59-b3b7-42b1-bd66-1f422d8ada82"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.668112-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000064, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
65,SERIALIZABLE,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=6cce8126-77b2-454d-8646-a3313fd39b8d, reason=kind_outranked -- payload={""value"": ""INFERRED_iter65"", ""writer"": ""kndb_native"", ""fact_id"": ""764b8b9e-cabb-4952-8c71-66077169c2f8"", ""provsql"": ""64eef622-f792-4926-ad9e-875088e273b0"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:27.6767-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000065, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
66,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000066 attribute='s2_slot' is INFERRED, expected MEASURED"
67,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000067 attribute='s2_slot' is INFERRED, expected MEASURED"
68,SERIALIZABLE,A,1,1,,,1,
69,SERIALIZABLE,A,1,0,,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",0,"live kind for entity_id=32000069 attribute='s2_slot' is INFERRED, expected MEASURED"
70,SERIALIZABLE,A,1,1,,,1,
71,SERIALIZABLE,B,0,1,"SerializationFailure: could not serialize access due to read/write dependencies among transactions
DETAIL:  Reason code: Canceled on identification as a pivot, during write.
HINT:  The transaction might succeed if retried.",,1,
